Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price,Power (Watts)
CPU,BX8070110100F,Intel,Core i3-10100F,1,98,1000,https://cpu.userbenchmark.com/SpeedTest/1030036/Intel-Core-i3-10100F,120,65
CPU,YD260XBCAFBOX,AMD,Ryzen 5 2600X,2,97,2000,https://cpu.userbenchmark.com/SpeedTest/395359/AMD-Ryzen-5-2600X,200,95
CPU,BX8070110400F,Intel,Core i5-10400F,3,96,3000,https://cpu.userbenchmark.com/SpeedTest/1080287/Intel-Core-i5-10400F,180,65
CPU,BX80662G4400,Intel,Pentium G4400,4,95,4000,https://cpu.userbenchmark.com/SpeedTest/80745/Intel-Pentium-G4400,50,54
CPU,BX8070110100,Intel,Core i3-10100,5,94,5000,https://cpu.userbenchmark.com/SpeedTest/1078931/Intel-Core-i3-10100,110,65
CPU,BX8070110400,Intel,Core i5-10400,6,93,6000,https://cpu.userbenchmark.com/SpeedTest/1077978/Intel-Core-i5-10400,170,65
CPU,YD160XBCAEWOF,AMD,Ryzen 5 1600X,7,92,7000,https://cpu.userbenchmark.com/SpeedTest/395331/AMD-Ryzen-5-1600X,150,95
CPU,BX80684I38100,Intel,Core i3-8100,8,91,8000,https://cpu.userbenchmark.com/SpeedTest/508005/Intel-Core-i3-8100,130,65
CPU,BX80684I39100,Intel,Core i3-9100,9,90,9000,https://cpu.userbenchmark.com/SpeedTest/710854/Intel-Core-i3-9100,140,65
CPU,BX80684I79700K,Intel,Core i7-9700K,10,89,10000,https://cpu.userbenchmark.com/SpeedTest/728863/Intel-Core-i7-9700K,400,95
CPU,BX80684I79700KF,Intel,Core i7-9700KF,11,88,11000,https://cpu.userbenchmark.com/SpeedTest/790014/Intel-Core-i7-9700KF,390,95
CPU,BX80684I910900K,Intel,Core i9-10900K,12,87,12000,https://cpu.userbenchmark.com/SpeedTest/1060139/Intel-Core-i9-10900K,500,125
CPU,BX80684I99900KF,Intel,Core i9-9900KF,13,86,13000,https://cpu.userbenchmark.com/SpeedTest/786644/Intel-Core-i9-9900KF,450,95
CPU,BX80684I99900KS,Intel,Core i9-9900KS,14,85,14000,https://cpu.userbenchmark.com/SpeedTest/787974/Intel-Core-i9-9900KS,480,127
CPU,BX80684I99900KS,Intel,Core i9-9900KS,15,84,15000,https://cpu.userbenchmark.com/SpeedTest/787974/Intel-Core-i9-9900KS,470,127
CPU,BX80684I10900K,Intel,Core i9-10900K,16,83,16000,https://cpu.userbenchmark.com/SpeedTest/1060139/Intel-Core-i9-10900K,520,125
CPU,BX80684I10900KF,Intel,Core i9-10900KF,17,82,17000,https://cpu.userbenchmark.com/SpeedTest/1060141/Intel-Core-i9-10900KF,510,125
CPU,BX8070810100F,Intel,Core i3-10100F,18,81,18000,https://cpu.userbenchmark.com/SpeedTest/1030036/Intel-Core-i3-10100F,125,65
CPU,BX8070110900KF,Intel,Core i9-10900KF,19,80,19000,https://cpu.userbenchmark.com/SpeedTest/1060141/Intel-Core-i9-10900KF,505,125
CPU,BX8070110900KS,Intel,Core i9-10900KS,20,79,20000,https://cpu.userbenchmark.com/SpeedTest/1060140/Intel-Core-i9-10900KS,495,125
