Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price,Power (Watts)
GPU,900-1G132-2530-000,Nvidia,GeForce GTX 1080,1,175,10000,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603,500,180
GPU,GV-N3070GAMING OC-8GD,Gigabyte,GeForce RTX 3070,2,170,9000,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4090,600,220
GPU,RTX2080TI-11G,Asus,GeForce RTX 2080 Ti,3,165,8000,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027,1200,250
GPU,GV-N1660OC-6GD,Gigabyte,GeForce GTX 1660,4,160,7000,https://gpu.userbenchmark.com/Nvidia-GTX-1660/Rating/4038,220,120
GPU,RX580-8GD5,MSI,Radeon RX 580,5,155,6000,https://gpu.userbenchmark.com/AMD-RX-580/Rating/3923,200,185
GPU,GV-RX570GAMING-4GD,Gigabyte,Radeon RX 570,6,150,5000,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924,150,150
GPU,GV-N3080AORUS X-10GD,Gigabyte,GeForce RTX 3080,7,145,4000,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080,700,320
GPU,RXVEGA56-8G,Sapphire,Radeon RX Vega 56,8,140,3000,https://gpu.userbenchmark.com/AMD-RX-Vega-56/Rating/3938,400,210
GPU,GV-N2060OC-6GD,Gigabyte,GeForce RTX 2060,9,135,2000,https://gpu.userbenchmark.com/Nvidia-RTX-2060/Rating/4034,300,160
GPU,GV-N3070GAMING OC-8GD,Gigabyte,GeForce RTX 3070,10,130,1000,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4090,600,220
GPU,RX6800XT-16G,AMD,Radeon RX 6800 XT,11,125,900,https://gpu.userbenchmark.com/AMD-RX-6800-XT/Rating/4095,700,300
GPU,GV-N1080G1 GAMING-8GD,Gigabyte,GeForce GTX 1080,12,120,800,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603,500,180
GPU,GV-N105TOC-4GL,Gigabyte,GeForce GTX 1050 Ti,13,115,700,https://gpu.userbenchmark.com/Nvidia-GTX-1050-Ti/Rating/3649,150,75
GPU,GV-RX580AORUS-8GD,Gigabyte,Radeon RX 580,14,110,600,https://gpu.userbenchmark.com/AMD-RX-580/Rating/3923,200,185
GPU,RTX3070-8G,Asus,GeForce RTX 3070,15,105,500,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4090,600,220
GPU,GV-N2080GAMING OC-8GC,Gigabyte,GeForce RTX 2080,16,100,400,https://gpu.userbenchmark.com/Nvidia-RTX-2080/Rating/4021,700,215
GPU,RTX2070-8G,Asus,GeForce RTX 2070,17,95,300,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029,500,175
GPU,GV-N2060WF2-6GD,Gigabyte,GeForce RTX 2060,18,90,200,https://gpu.userbenchmark.com/Nvidia-RTX-2060/Rating/4034,300,160
GPU,RTX3060-12G,Asus,GeForce RTX 3060,19,85,100,https://gpu.userbenchmark.com/Nvidia-RTX-3060/Rating/4105,400,170
GPU,GV-N1660WF2OC-6GD,Gigabyte,GeForce GTX 1660,20,80,50,https://gpu.userbenchmark.com/Nvidia-GTX-1660/Rating/4038,200,120
