Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price,Power (Watts)
RAM,F5-7200J3445G16GX2-TZ5RK,G.SKILL,TZ/RJ/FX DDR5 7200 C34 2x16GB,1,201,3920,https://ram.userbenchmark.com/SpeedTest/1955829/G-Skill-Intl-F5-7200J3445G16G-2x16GB,350.0,10
RAM,CMH32GX5M2B6000Z30,Corsair,Vengeance RGB DDR5 6000 C30 2x16GB,2,192,7918,https://ram.userbenchmark.com/SpeedTest/1964162/Corsair-CMH32GX5M2B6000Z30-2x16GB,300.0,12
RAM,KF556C40BBK2-32,Kingston,Fury DDR5 5600 C40 2x16GB,3,180,1573,https://ram.userbenchmark.com/SpeedTest/1845681/Kingston-KF556C40-16-2x8GB,250.0,14
RAM,CMK32GX4M4A2666C15,Corsair,Vengeance LPX DDR4 2666 C15 4x8GB,4,170,2385,https://ram.userbenchmark.com/SpeedTest/2108041/Corsair-CMK32GX4M4A2666C15-4x8GB,200.0,16
RAM,F4-3200C14Q-32GFX,G.SKILL,Flare X DDR4 3200 C14 4x8GB,5,160,6571,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F4-3200C14Q-32GFX-4x8GB,150.0,18
RAM,BLS4K8G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 4x8GB,6,150,18403,https://ram.userbenchmark.com/SpeedTest/1770998/Crucial-BLS4K8G4D240FSA-4x8GB,100.0,20
RAM,F4-3600C17D-8GTZ,G.SKILL,Trident Z DDR4 3600 C17 2x8GB,7,140,17261,https://ram.userbenchmark.com/SpeedTest/1931932/G-Skill-Intl-F4-3600C17D-8GTZ-2x8GB,90.0,22
RAM,CMR16GX4M2C3466C16,Corsair,Vengeance RGB DDR4 3466 C16 2x8GB,8,130,7992,https://ram.userbenchmark.com/SpeedTest/1938847/Corsair-CMR16GX4M2C3466C16-2x8GB,80.0,24
RAM,CMK16GX4M2B3000C15,Corsair,Vengeance LPX DDR4 3000 C15 2x8GB,9,120,39467,https://ram.userbenchmark.com/SpeedTest/1769364/Corsair-CMK16GX4M2B3000C15-2x8GB,70.0,26
RAM,HX426C15FBK4/32,HyperX,Fury DDR4 2666 C15 4x8GB,10,110,25956,https://ram.userbenchmark.com/SpeedTest/1769364/HyperX-HX426C15FBK4-32-4x8GB,60.0,28
RAM,CMK16GX4M2D3600C18,Corsair,Vengeance LPX DDR4 3600 C18 2x8GB,11,100,3671,https://ram.userbenchmark.com/SpeedTest/1854082/Corsair-CMK16GX4M2D3600C18-2x8GB,50.0,30
RAM,F4-3600C16D-16GTZ,G.SKILL,Trident Z DDR4 3600 C16 2x8GB,12,90,5573,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F4-3600C16D-16GTZ-2x8GB,40.0,32
RAM,F4-3000C15Q-16GRB,G.SKILL,Ripjaws 4 DDR4 3000 C15 4x4GB,13,80,6571,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F4-3000C15Q-16GRB-4x4GB,30.0,34
RAM,F4-2800C16Q-16GRB,G.SKILL,Ripjaws 4 DDR4 2800 C16 4x4GB,14,70,18403,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F4-2800C16Q-16GRB-4x4GB,20.0,36
RAM,F4-3600C17D-16GTZ,G.SKILL,Trident Z DDR4 3600 C17 2x8GB,15,60,17261,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F4-3600C17D-16GTZ-2x8GB,10.0,38
RAM,CMR16GX4M2C3600C18,Corsair,Vengeance RGB DDR4 3600 C18 2x8GB,16,50,7992,https://ram.userbenchmark.com/SpeedTest/1854082/Corsair-CMR16GX4M2C3600C18-2x8GB,5.0,40
RAM,F4-3000C15D-16GTZB,G.SKILL,Trident Z DDR4 3000 C15 2x8GB,17,40,39467,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F4-3000C15D-16GTZB-2x8GB,3.0,42
RAM,CMK16GX4M2B3000C15R,Corsair,Vengeance LPX DDR4 3000 C15 2x8GB,18,30,25956,https://ram.userbenchmark.com/SpeedTest/1854082/Corsair-CMK16GX4M2B3000C15R-2x8GB,2.0,44
RAM,BLS2K8G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 2x8GB,19,20,3671,https://ram.userbenchmark.com/SpeedTest/1854082/Crucial-BLS2K8G4D240FSA-2x8GB,1.0,46
RAM,HX421C14FBK2/16,HyperX,Fury DDR4 2133 C14 2x8GB,20,10,5573,https://ram.userbenchmark.com/SpeedTest/1854082/HyperX-HX421C14FBK2-16-2x8GB,0.5,48
