Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price,Power (Watts)
SSD,MZ-76E1T0B/AM,Samsung,860 EVO 1TB,1,120,20000,https://ssd.userbenchmark.com/Samsung-860-Evo-1TB/Rating/3959,100,4
SSD,CT1000P1SSD8,Crucial,P1 1TB,2,115,19000,https://ssd.userbenchmark.com/Crucial-P1-1TB/Rating/4030,90,3
SSD,WDS100T2B0A,Western Digital,Blue 1TB,3,110,18000,https://ssd.userbenchmark.com/Western-Digital-Blue-1TB/Rating/3910,80,3
SSD,SA400S37/960G,Kingston,A400 960GB,4,105,17000,https://ssd.userbenchmark.com/Kingston-A400-960GB/Rating/3938,70,2
SSD,SDSSDA-1T00-G26,SanDisk,SSD PLUS 1TB,5,100,16000,https://ssd.userbenchmark.com/SanDisk-SSD-PLUS-1TB/Rating/3978,60,3
SSD,MZ-V7E1T0BW,Samsung,970 EVO 1TB,6,95,15000,https://ssd.userbenchmark.com/Samsung-970-Evo-1TB/Rating/4036,110,5
SSD,MZ-76Q1T0B/AM,Samsung,860 QVO 1TB,7,90,14000,https://ssd.userbenchmark.com/Samsung-860-QVO-1TB/Rating/4022,85,4
SSD,CT1000MX500SSD1,Crucial,MX500 1TB,8,85,13000,https://ssd.userbenchmark.com/Crucial-MX500-1TB/Rating/3954,75,3
SSD,WDS100T2G0A,Western Digital,Green 1TB,9,80,12000,https://ssd.userbenchmark.com/Western-Digital-Green-1TB/Rating/3943,65,3
SSD,MZ-76P1T0BW,Samsung,970 PRO 1TB,10,75,11000,https://ssd.userbenchmark.com/Samsung-970-Pro-1TB/Rating/4020,120,5
SSD,SA2000M8/1000G,Kingston,A2000 1TB,11,70,10000,https://ssd.userbenchmark.com/Kingston-A2000-1TB/Rating/4035,95,4
SSD,SDSSDH3-1T00-G25,SanDisk,Ultra 3D 1TB,12,65,9000,https://ssd.userbenchmark.com/SanDisk-Ultra-3D-1TB/Rating/4032,85,3
SSD,MZ-V8P1T0BW,Samsung,970 EVO Plus 1TB,13,60,8000,https://ssd.userbenchmark.com/Samsung-970-Evo-Plus-1TB/Rating/4037,105,5
SSD,CT1000X8SSD9,Crucial,X8 1TB,14,55,7000,https://ssd.userbenchmark.com/Crucial-X8-1TB/Rating/4031,95,4
SSD,WDS100T3X0C,Western Digital,Black SN750 1TB,15,50,6000,https://ssd.userbenchmark.com/Western-Digital-Black-SN750-1TB/Rating/4038,100,5
SSD,MZ-77E1T0B/AM,Samsung,870 EVO 1TB,16,45,5000,https://ssd.userbenchmark.com/Samsung-870-Evo-1TB/Rating/4039,115,5
SSD,SA400M8/1T,Kingston,A400 1TB,17,40,4000,https://ssd.userbenchmark.com/Kingston-A400-1TB/Rating/3938,85,4
SSD,SDSSDA-1T00-G27,SanDisk,SSD PLUS 1TB,18,35,3000,https://ssd.userbenchmark.com/SanDisk-SSD-PLUS-1TB/Rating/3978,75,3
SSD,MZ-V7S1T0B/AM,Samsung,970 PRO 1TB,19,30,2000,https://ssd.userbenchmark.com/Samsung-970-Pro-1TB/Rating/4020,105,5
SSD,CT1000X6SSD9,Crucial,X6 1TB,20,25,1000,https://ssd.userbenchmark.com/Crucial-X6-1TB/Rating/4034,95,4
