Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price,Power (Watts)
USB,MKNUFDVU240GB,Mushkin,Ventura Ultra USB 3.0 240GB,1,151.0,27,https://usb.userbenchmark.com/SpeedTest/7528/Mushkin-Ventura-Ultra,60,2
USB,MKNUFDVU60GB,Mushkin,Ventura Ultra USB 3.0 60GB,2,143.0,38,https://usb.userbenchmark.com/Mushkin-Ventura-Ultra-USB-30-60GB/Rating/2281,40,2
USB,MKNUFDVU120GB,Mushkin,Ventura Ultra USB 3.0 120GB,3,140.0,48,https://usb.userbenchmark.com/SpeedTest/8396/Mushkin-Ventura-Ultra,55,2
USB,CMFVYGTX3-256GB,Corsair,Flash Voyager GTX USB 3.0 256GB,4,114.0,71,https://usb.userbenchmark.com/SpeedTest/12583/Corsair-Voyager-GTX,100,3
USB,CMFVYGTX3-128GB,Corsair,Flash Voyager GTX USB 3.0 128GB,5,114.0,102,https://usb.userbenchmark.com/SpeedTest/13691/Corsair-Voyager-GTX,80,3
USB,SDCZ88-128G,SanDisk,Extreme Pro USB 3.0 128GB,6,81.4,1435,https://usb.userbenchmark.com/SpeedTest/7603/SanDisk-ExtremePro,70,2
USB,SDCZ80-064G,SanDisk,Extreme USB 3.0 64GB,7,74.0,6221,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-64GB/Rating/1459,50,2
USB,MUF-64BB/US,Samsung,FIT USB 3.0 64GB,8,69.0,4291,https://usb.userbenchmark.com/SpeedTest/36937/Samsung-Flash-Drive-FIT,30,1
USB,SDCZ80-032G,SanDisk,Extreme USB 3.0 32GB,9,64.5,4213,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-32GB/Rating/1466,25,1
USB,MKNUFDVU30GB,Mushkin,Ventura Ultra USB 3.0 30GB,10,63.0,25,https://usb.userbenchmark.com/SpeedTest/1000/Mushkin-Ventura-Ultra-USB-30-30GB,20,1
USB,SDCZ80-016G,SanDisk,Extreme USB 3.0 16GB,11,62.1,2906,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-16GB/Rating/1301,15,1
USB,HXS3/512GB,Kingston,HyperX Savage USB 3.1 512GB,12,61.5,91,https://usb.userbenchmark.com/SpeedTest/80249/Kingston-HyperX-Savage,120,3
USB,HXS3/128GB,Kingston,HyperX Savage USB 3.1 128GB,13,60.9,665,https://usb.userbenchmark.com/SpeedTest/64443/Kingston-HyperX-Savage,70,3
USB,HXS3/256GB,Kingston,HyperX Savage USB 3.1 256GB,14,60.6,448,https://usb.userbenchmark.com/SpeedTest/47907/Kingston-HyperX-Savage,90,3
USB,MUF-32BB/AM,Samsung,FIT USB 3.0 32GB,15,58.9,3642,https://usb.userbenchmark.com/SpeedTest/38059/Samsung-Flash-Drive-FIT,20,1
USB,AP-SATA256,Apricorn,SATAWire 256GB,16,58.7,35,https://usb.userbenchmark.com/SpeedTest/10670/Apricorn-SATAWire,60,2
USB,CMFVYGS3-256GB,Corsair,Voyager GS 256GB,17,58.0,50,https://usb.userbenchmark.com/SpeedTest/7514/Corsair-Voyager-GS,100,3
USB,MKNUFDVU240GB,Mushkin,Ventura Ultra USB 3.0 240GB,18,151.0,25,https://usb.userbenchmark.com/SpeedTest/7528/Mushkin-Ventura-Ultra,60,2
USB,CMFVYGTX3-128GB,Corsair,Flash Voyager GTX USB 3.0 128GB,19,114.0,102,https://usb.userbenchmark.com/SpeedTest/13691/Corsair-Voyager-GTX,80,3
USB,SDCZ88-256G,SanDisk,Extreme Pro USB 3.0 256GB,20,90.0,1200,https://usb.userbenchmark.com/SpeedTest/12584/SanDisk-ExtremePro,150,3
